Title: LIGO Blocks
Date:  2025-05-27
Source: LIGO Blocks.pdf
ligo_event_id          time                hash
GW150914-v3           2015-09-14 5:55:09   000000000000000005da8867286d40b1280583ce3f64f7aa7fad64bddfdc799a
GW151012-v3           2015-10-12 5:55:09   000000000000000001caf79e70dc93fd412d99d088b32f20c1ceb33293d4d410
GW151226-v2          2015-12-25 22:41:03   00000000000000000b2b6652e3b82d1fc1172cc2421c85f75e0bb6de2a82db07
GW170104-v2           2017-01-04 5:25:21   00000000000000000350252f115f88b882648c13383d8731ae7a0d81545e7b61
GW170608-v3          2017-06-07 22:09:44   0000000000000000006435331a1e5f06cc1f0f4ebbd547ec0fa4837099fa0522
GW170729-v1          2017-07-29 15:13:32   00000000000000000100fe2a51116fa7e67b9e6bd04bbdd3f08d15456a15f724
GW170809-v1           2017-08-09 4:29:51   000000000000000000fa48c6ff289206fad0434e6daf3686fa8ff1c0d46f206f
GW170814-v3           2017-08-14 6:45:57   0000000000000000009a83d5bc3d8155d0dfb05dd5f59671fe3f638e6f88f704
GW170817-v3           2017-08-17 8:45:03   0000000000000000007a687da2f2b267a851ba83b0ad24a9af757f4a0ca5b81d
GW170818-v1          2017-08-17 22:34:16   0000000000000000003120754d1cc260cd4690fe1d1261d2f88810a5d5e7b27d
GW170823-v1           2017-08-23 9:31:08   000000000000000000abe0409a6f343b88e2fa16e52b142adfb9eba718028138
GW190403_051519-v1    2019-04-03 1:29:21   000000000000000000105ea9f04d378e6894c016b286d62cfe270f75baa6a09a
GW190408_181802-v2   2019-04-08 14:28:40   00000000000000000020d390c48530e7591bd91d09313d53184611416e53a1af
GW190412_053044-v4    2019-04-12 1:33:37   0000000000000000002494759524628e7c0978a334d569418285afe0128711f1
GW190413_052954-v2    2019-04-13 1:36:49   0000000000000000001dc81e98ef38045d48ef89f840e323c53b7134c62185d3
GW190413_134308-v2    2019-04-13 9:52:58   0000000000000000001848c1b5873cdaa241f2ac12ec782ecfdd3a14835a2f02
GW190421_213856-v2   2019-04-21 18:02:05   000000000000000000056f62fd988e80dcbd6f9b8047123eb9691d785d06da58
GW190424_180648-v2   2019-04-24 14:09:56   0000000000000000001b7c21674ed24013fc0b84ec3e5a92d32f1783a528b747
GW190425_081805-v3    2019-04-25 4:19:32   000000000000000000196e630145840bdc29e758b75717c6925bf0a251618b52
GW190426_152155-v2   2019-04-26 11:25:20   0000000000000000000086b8f79d9241fe19a16fbdc4cfe48171d9d59035c0e3
GW190426_190642-v1   2019-04-26 15:35:24   00000000000000000000fcc8dab19b7ceb73d4cd2144f9a743b4bab03e076b22
GW190503_185404-v2   2019-05-03 15:05:29   000000000000000000115985f322fdef3e6993257d16b9fca6c77ec39f169644
GW190512_180714-v2   2019-05-12 14:18:14   00000000000000000016e871326eb3744d8138f0c3ca9e61a39de4c6450b0b72
GW190513_205428-v2   2019-05-13 16:58:46   000000000000000000075ce19f1b4e9020f0fe4bb8b3c781fa10528e47b2717b
GW190514_065416-v2    2019-05-14 2:59:24   0000000000000000000aa733ee960f952c8a45ae5771e3b2bf39fab67c55e47c
GW190517_055101-v2    2019-05-17 2:08:51   00000000000000000020bc5f8cb528551663d4658cbaf87a0797e21ebe7e4ef2
GW190519_153544-v2   2019-05-19 12:09:54   00000000000000000022dcabeea16ab6516e19a035090524d4509d1e74201bad
GW190521_030229-v4   2019-05-20 23:08:43   000000000000000000165a88eef78362d0cfbd1362c3d9e087f5bc493d62d8a9
GW190521_074359-v2    2019-05-21 3:46:40   0000000000000000001cf1f22c1e1f9f2916f4ee901693f26e092f1193f4f693
GW190527_092055-v2    2019-05-27 5:23:15   000000000000000000157b2855856c4a677a642b1d4f8520d97d815d14cdd4a2
GW190602_175927-v2   2019-06-02 14:12:49   00000000000000000016b0dcccfd2eef8d95a8b9b75e5f57f0798034f5f8ace1
GW190620_030421-v2   2019-06-19 23:10:17   0000000000000000000b539622ea663ab524b08b7a0c256bb9b9e0adbf8a4f7d
GW190630_185205-v2   2019-06-30 14:57:42   000000000000000000094e7ebc1ec5bba9ee83e519458197482b4f89f0212cdc
GW190701_203306-v2   2019-07-01 16:42:56   0000000000000000000334615433ddc91ecbfbe09fb0997144f81ff363376fce
GW190706_222641-v2   2019-07-06 18:36:19   000000000000000000222c02b22c69ad3c8a0ea948b4add9b0ac836e357d1ecb
GW190707_093326-v2    2019-07-07 5:43:43   0000000000000000000964d4e6cb777ffb536e865bf7b8c95935c7d0f8d0ef66
GW190708_232457-v2   2019-07-08 19:26:27   0000000000000000000dd7e6156ce7418d648553665b5ecdf758c23b19b4d885
GW190719_215514-v2   2019-07-19 18:05:42   000000000000000000159549ca040f313e72f41e100013aaf09eb3da1925243d
GW190720_000836-v2   2019-07-19 20:15:34   000000000000000000102fc83b98cdee7b47802c8b984ac8a798e1210003dfa1
GW190725_174728-v1   2019-07-25 13:55:21   00000000000000000013f9235514129c7933dfeb5ef81d20f7dae90465200eec
GW190727_060333-v2    2019-07-27 2:06:29   00000000000000000001e8a845d592f101baf844be438eee85520e7ffdef4660
GW190728_064510-v2    2019-07-28 2:47:04   0000000000000000000cc7c0baf85113e38007b9481b4401bf124131e726cfe1
GW190731_140936-v2   2019-07-31 10:19:23   0000000000000000001249673f49e663fe2522741510f04e976969f518d2942b
GW190803_022701-v2   2019-08-02 22:47:48   00000000000000000002218585018fad19357c116b06b9d4fc18919676244b56
GW190805_211137-v1   2019-08-05 17:17:30   000000000000000000082232d4ddfdf372760367262dd68b3f327be39910c2f7
GW190814_211039-v3   2019-08-14 17:11:49   00000000000000000001b835134acf92c0b2375705a829affeb70837c1624395
GW190828_063405-v2    2019-08-28 2:36:38   000000000000000000016c8bbde7ad5dfa222c1ce7e83da29e4c276a761723c6
ligo_event_id          time                hash
GW190828_065509-v2    2019-08-28 3:00:10   0000000000000000000e53e6397112ff8cb1202a24e7b19df40ed48bce84fca3
GW190909_114149-v2    2019-09-09 8:00:28   00000000000000000014d021149a22ed6da9ddb385658ab61157a4080935b3e5
GW190910_112807-v2    2019-09-10 7:43:33   0000000000000000000373533421c69ee4f133d260480777ff131159418550ce
GW190915_235702-v2   2019-09-15 20:00:06   000000000000000000047160ac93661545b0bee72c176e918895707e29b2b773
GW190916_200658-v1   2019-09-16 16:15:43   000000000000000000028972dd2e40c26fa8248eaa692334816c1a05c58c65a3
GW190917_114630-v1    2019-09-17 8:09:51   0000000000000000000a3328a3e184a24182f79362061154c84e928eb473c090
GW190924_021846-v2   2019-09-23 22:35:48   00000000000000000017422f631ff5211fa18f981289f2d8413214957b2793c5
GW190925_232845-v1   2019-09-25 19:37:38   000000000000000000115e5c0cbbc86ade3e5611f2f20e09f2b03dd4e65bf8f8
GW190926_050336-v1    2019-09-26 1:04:05   000000000000000000164403f02737b1e5b42b88d6c7c36d690593118f47c8f7
GW190929_012149-v2   2019-09-28 21:27:51   000000000000000000009c97b5e934408808e33ca3d217555785cd16fe2033b6
GW190930_133541-v2    2019-09-30 9:36:29   00000000000000000009aeb13c2a478ddbdb9bf641b8cc91f0b38b83ef8a3244
GW191103_012549-v1   2019-11-02 22:39:00   0000000000000000000d896d763bb12a9b0b1c6545e376898819d4a8f4c57bcd
